00 11 22 33 44 55 66 77 88 99 AA BB CC DD EE FF
FF EE DD CC BB AA 99 88 77 66 55 44 33 22 11 00
0F 1E 2D 3C 4B 5A 69 78 87 96 A5 B4 C3 D2 E1 F0
12 34 56 78 9A BC DE F0 01 23 45 67 89 AB CD EF
FE DC BA 98 76 54 32 10 0F 1E 2D 3C 4B 5A 69 78
00 FF 11 EE 22 DD 33 CC 44 BB 55 AA 66 99 77 88
A0 B1 C2 D3 E4 F5 06 17 28 39 4A 5B 6C 7D 8E 9F
55 55 AA AA 55 55 AA AA 55 55 AA AA 55 55 AA AA
01 23 45 67 89 AB CD EF 10 32 54 76 98 BA DC FE
F0 E1 D2 C3 B4 A5 96 87 78 69 5A 4B 3C 2D 1E 0F
11 22 33 44 55 66 77 88 99 AA BB CC DD EE FF 00
AA BB CC DD EE FF 00 11 22 33 44 55 66 77 88 99
0A 1B 2C 3D 4E 5F 6A 7B 8C 9D AE BF C0 D1 E2 F3
FF 00 FF 00 FF 00 FF 00 FF 00 FF 00 FF 00 FF 00
10 20 30 40 50 60 70 80 90 A0 B0 C0 D0 E0 F0 00
01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10
F1 E2 D3 C4 B5 A6 97 88 79 6A 5B 4C 3D 2E 1F 00
0F 0E 0D 0C 0B 0A 09 08 07 06 05 04 03 02 01 00
12 23 34 45 56 67 78 89 9A AB BC CD DE EF F0 01
FE DC BA 98 76 54 32 10 0F 1E 2D 3C 4B 5A 69 78
55 44 33 22 11 00 FF EE DD CC BB AA 99 88 77 66
66 77 88 99 AA BB CC DD EE FF 00 11 22 33 44 55
0F 1E 2D 3C 4B 5A 69 78 87 96 A5 B4 C3 D2 E1 F0
F0 E1 D2 C3 B4 A5 96 87 78 69 5A 4B 3C 2D 1E 0F
AA 55 AA 55 AA 55 AA 55 AA 55 AA 55 AA 55 AA 55
33 66 99 CC FF 00 33 66 99 CC FF 00 33 66 99 CC
12 34 56 78 9A BC DE F0 01 23 45 67 89 AB CD EF
EF CD AB 89 67 45 23 01 FE DC BA 98 76 54 32 10
01 10 01 10 01 10 01 10 01 10 01 10 01 10 01 10
F1 1F E1 1E D1 2D C1 3C B1 4B A1 5A 91 69 81 78
00 11 22 33 44 55 66 77 88 99 AA BB CC DD EE FF
FF EE DD CC BB AA 99 88 77 66 55 44 33 22 11 00
0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19
F0 E1 D2 C3 B4 A5 96 87 78 69 5A 4B 3C 2D 1E 0F
10 32 54 76 98 BA DC FE 01 23 45 67 89 AB CD EF
AA BB CC DD EE FF 00 11 22 33 44 55 66 77 88 99
99 88 77 66 55 44 33 22 11 00 FF EE DD CC BB AA
01 23 45 67 89 AB CD EF 10 32 54 76 98 BA DC FE
FE DC BA 98 76 54 32 10 0F 1E 2D 3C 4B 5A 69 78
0F 1E 2D 3C 4B 5A 69 78 87 96 A5 B4 C3 D2 E1 F0
00 FF 11 EE 22 DD 33 CC 44 BB 55 AA 66 99 77 88
55 55 55 55 AA AA AA AA 55 55 55 55 AA AA AA AA
12 34 56 78 9A BC DE F0 01 23 45 67 89 AB CD EF
EF CD AB 89 67 45 23 01 FE DC BA 98 76 54 32 33
0A 1B 2C 3D 4E 5F 6A 7B 8C 9D AE BF C0 D1 E2 F3
F1 E2 D3 C4 B5 A6 97 88 79 6A 5B 4C 3D 2E 1F 00
01 23 45 67 89 AB CD EF 10 32 54 76 98 BA DC FE
FE DC BA 98 76 54 32 10 0F 1E 2D 3C 4B 5A 69 78
33 33 33 33 44 44 44 44 55 55 55 55 66 66 66 66
77 77 77 77 88 88 88 88 99 99 99 99 AA AA AA AA
00 11 22 33 44 55 66 77 88 99 AA BB CC DD EE FF
FF EE DD CC BB AA 99 88 77 66 55 44 33 22 11 21
0F 1E 2D 3C 4B 5A 69 78 87 96 A5 B4 C3 D2 E1 F0
F0 E1 D2 C3 B4 A5 96 87 78 69 5A 4B 3C 2D 1E 00
